geo_type,region,transportation_type,alternative_name,sub_region,country,date,relative_mobility
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-03,123.95
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-04,122.53
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-05,125.68
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-06,145.86
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-07,132.14
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-08,110.95
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-09,117.11
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-10,122.02
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-11,130.62
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-12,113.34
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-13,136.19
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-14,124.79
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-15,100.84
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-16,111.59
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-17,117.21
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-18,111.83
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-19,116.6
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-20,137.92
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-21,116.97
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-22,92.62
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-23,113.36
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-24,121.89
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-25,121.14
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-26,53.65
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-27,102.63
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-28,100.68
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-29,85.14
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-30,104.51
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-01,106.53
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-02,108.23
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-03,110.03
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-04,126.56
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-05,112.23
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-06,89.65
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-07,105.49
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-08,109.78
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-09,111.57
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-10,112.14
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-11,129.32
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-12,115.25
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-13,89.38
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-14,112.49
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-15,110.56
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-16,112.66
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-17,112.6
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-18,127.68
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-19,117.81
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-20,91.13
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-21,119.82
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-22,122.23
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-23,127.85
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-24,91.92
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-25,42.67
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-26,87.55
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-27,89.65
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-28,111.71
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-29,107.81
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-30,115.1
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-12-31,112.3
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-01,87.72
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-02,111.05
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-03,100.89
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-04,114.26
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-05,115.99
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-06,112.22
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-07,117.26
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-08,128.95
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-09,125.55
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-10,101.77
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-11,113.36
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-12,112.29
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-13,121.07
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-14,119.92
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-15,132.51
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-16,127.08
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-17,106.13
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-18,119.76
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-19,116.49
city,Eugene-Springfield,driving,NA,Oregon,United States,2021-01-20,112.89
